nan,0.00000000,0.02000000,0.04000000,0.06000000,0.08000000,0.10000000,0.12000000,0.14000000,0.16000000,0.18000000,0.20000000,0.22000000,0.24000000,0.26000000,0.28000000,0.30000000,0.32000000,0.34000000,0.36000000,0.38000000,0.40000000,0.42000000,0.44000000,0.46000000,0.48000000,0.50000000,0.52000000,0.54000000,0.56000000,0.58000000,0.60000000,0.62000000,0.64000000,0.66000000,0.68000000,0.70000000,0.72000000,0.74000000,0.76000000,0.78000000,0.80000000,0.82000000,0.84000000,0.86000000,0.88000000,0.90000000,0.92000000,0.94000000,0.96000000,0.98000000,1.00000000
2.00000000,1.00000000,0.98020000,0.96080000,0.94180000,0.92320000,0.90500000,0.88720000,0.86980000,0.85280000,0.83620000,0.82000000,0.80420000,0.78880000,0.77380000,0.75920000,0.74500000,0.73120000,0.71780000,0.70480000,0.69220000,0.68000000,0.66820000,0.65680000,0.64580000,0.63520000,0.62500000,0.61520000,0.60580000,0.59680000,0.58820000,0.58000000,0.57220000,0.56480000,0.55780000,0.55120000,0.54500000,0.53920000,0.53380000,0.52880000,0.52420000,0.52000000,0.51620000,0.51280000,0.50980000,0.50720000,0.50500000,0.50320000,0.50180000,0.50080000,0.50020000,0.50000000
3.00000000,1.00000000,0.97059600,0.94236800,0.91529200,0.88934400,0.86450000,0.84073600,0.81802800,0.79635200,0.77568400,0.75600000,0.73727600,0.71948800,0.70261200,0.68662400,0.67150000,0.65721600,0.64374800,0.63107200,0.61916400,0.60800000,0.59755600,0.58780800,0.57873200,0.57030400,0.56250000,0.55529600,0.54866800,0.54259200,0.53704400,0.53200000,0.52743600,0.52332800,0.51965200,0.51638400,0.51350000,0.51097600,0.50878800,0.50691200,0.50532400,0.50400000,0.50291600,0.50204800,0.50137200,0.50086400,0.50050000,0.50025600,0.50010800,0.50003200,0.50000400,0.50000000
4.00000000,1.00000000,0.96118408,0.92467328,0.89037448,0.85819648,0.82805000,0.79984768,0.77350408,0.74893568,0.72606088,0.70480000,0.68507528,0.66681088,0.64993288,0.63436928,0.62005000,0.60690688,0.59487368,0.58388608,0.57388168,0.56480000,0.55658248,0.54917248,0.54251528,0.53655808,0.53125000,0.52654208,0.52238728,0.51874048,0.51555848,0.51280000,0.51042568,0.50839808,0.50668168,0.50524288,0.50405000,0.50307328,0.50228488,0.50165888,0.50117128,0.50080000,0.50052488,0.50032768,0.50019208,0.50010368,0.50005000,0.50002048,0.50000648,0.50000128,0.50000008,0.50000000
