n_qubits,fidelity,purity
2.000000000000000000e+00,7.112499999999999378e-01,5.892531250000000442e-01
3.000000000000000000e+00,6.373124999999999485e-01,5.377094453124999784e-01
4.000000000000000000e+00,5.892531249999999332e-01,5.159322406445312481e-01
